Sector,Ticker,Exchange
CK,SSI,HOSE
CK,VND,HOSE
CK,VCI,HOSE
CK,SHS,HNX
CK,BSI,HOSE
CK,MBS,HNX
CK,CTS,HOSE
CK,HCM,HOSE
CK,VIX,HOSE
BDS,DXG,HOSE
BDS,DIG,HOSE
BDS,IDC,HNX
BDS,KDH,HOSE
BDS,KBC,HOSE
BDS,NLG,HOSE
BDS,NVL,HOSE
BDS,PDR,HOSE
BDS,GEX,HOSE
BDS,NTL,HOSE
BDS,TCH,HOSE
BDS,HHS,HOSE
BDS,CEO,HNX
BDS,VIC,HOSE
BDS,VHM,HOSE
BDS,VRE,HOSE
DTC,VCG,HOSE
DTC,HHV,HOSE
XD,CTD,HOSE
VLXD,HPG,HOSE
VLXD,HSG,HOSE
VLXD,NKG,HOSE
VLXD,VGS,HNX
DAU,PVD,HOSE
DAU,PVS,HNX
HK,HVN,HOSE
HK,VJC,HOSE
HK,ACV,UPCOM
AGRI,DBC,HOSE
AGRI,BAF,HOSE
XK,TNG,HNX
XK,PTB,HOSE
XK,GMD,HOSE
XK,VSC,HOSE
XK,VHC,HOSE
XK,ANV,HOSE
NH,VPB,HOSE
NH,TCB,HOSE
NH,MBB,HOSE
NH,STB,HOSE
NH,MSB,HOSE
NH,VCB,HOSE
NH,CTG,HOSE
NH,BID,HOSE
NH,ACB,HOSE
NH,LPB,HOSE
FAV,FPT,HOSE
FAV,MWG,HOSE
FAV,DGW,HOSE
FAV,FRT,HOSE
FAV,DGC,HOSE
FAV,DCM,HOSE
Index,VNINDEX,
Index,VNMID,
Index,^GSPC,
Index,^VIX,

